FSTVL_NM,OPAR_NM,FSTVL_CN,TEL_NO,HMPG_URL,FCLTY_ROAD_NM_ADDR,LNM_ADDR,LA,LO,BHF_CD,BHF_NM,MESURE_DE,AVRG_TP,AVRG_TOP_TP,AVRG_LWET_TP,TOP_TP,LWET_TP,TOP_TP_OCCRRNC_DE,LWET_TP_OCCRRNC_DE,AVRG_ARCSR,AVRG_PARTN_HD,AVRG_WIND_VE
(23년미정)하남이성산성문화축제,하남유니온파크,음악공연+체험행사+온라인 이벤트,317907979,www.hnart.or.kr,경기도 하남시 미사대로 710,경기도 하남시 신장동 27,,,119,수원,20221101,9.5,15.7,4.1,22.1,-7.9,20221111,20221130,1017.1,69,1.5
(가칭)문화로 동행축제,연구수 전역,"지역축제 연계, 시민 기획프로그램 운영",327497304,,인천광역시 연수구 새말로 120,인천광역시 연수구 연수동 578,37.41812199,126.6823541,112,인천,20221101,10.2,14.4,6.5,21.4,-7.4,20221112,20221130,1013,64,2.7
(미확정)동해무릉제,동해웰빙레포츠타운,개막식+퍼레이드+공연행사+체험행사+동대항 민속경기+민속예술시연,335302111,http://www.dh.go.kr/tour/sub.htm?nav_code=tou1497764548,강원도 동해시 덕골길 10,강원도 동해시 천곡동 363-1,37.51606095,129.1021986,106,동해,20221101,12.1,16.7,7.6,23.2,-1.9,20221112,20221130,1015.1,58,1.8
(축제 취소)광양매화축제,다압면 섬진마을 일원,공연+경연+체험+전시+판매+부대행사,617972721,http://www.gwangyang.go.kr/tour_culture,전라남도 광양시 시청로 33,전라남도 광양시 중동 1313,34.94063056,127.6959675,174,순천,20221101,9.3,17.8,2.5,22.7,-3,20221110,20221130,1001.1,72,1.7
(축제 취소)백운산국사봉철쭉축제,옥곡면 국사봉랜드,공연+경연+체험+전시+판매+부대행사,617974233,http://www.gwangyang.go.kr/tour_culture,전라남도 광양시 옥곡면 옥진로 665-1,전라남도 광양시 옥곡면 수평리 131-3,34.98936299,127.7001825,168,여수,20221101,13.3,17.6,9.8,21.1,-0.9,20221101,20221130,1012.6,60,3.7
(코로나19로 행사취소)합천벚꽃마라톤대회,백리벚꽃길 코스,벚꽃길에서 펼쳐지는 달리미들의 대향연,559304943,https://www.hc.go.kr/06573/06623/06624.web,경상남도 합천군 대병면 합천호수로 197,경상남도 합천군 대병면 회양리 1603-1,35.531585,128.0295197,285,합천,20221101,9.4,17.8,3.1,22.8,-2.2,20221112,20221105,1017.5,70,0.5
(코로나19로 행사취소)황매산 철쭉제,황매산군립공원,황매산 철쭉을 즐기는 축제,559304753,http://www.hwangmaesan.kr,경상남도 합천군 가회면 황매산공원길 4,경상남도 합천군 가회면 둔내리 1319,35.48184913,128.0037495,285,합천,20221101,9.4,17.8,3.1,22.8,-2.2,20221112,20221105,1017.5,70,0.5
(코로나로 일정 미정)서산6쪽마늘축제,해미읍성,6쪽마늘 판매+공연+체험,416603937,https://www.seosan.go.kr/tour/index.do,충청남도 서산시 해미면 남문2로 143,,,,129,서산,20221101,9.3,16.1,3.7,22.5,-3.8,20221112,20221130,1018.6,73,1.6
(코로나로 일정 미정)서산뻘낙지먹물축제,지곡면 중리포구,낙지 잡기 체험 및 공연,416602069,https://www.seosan.go.kr/tour/index.do,충청남도 서산시 지곡면 어름들2길 66,,,,129,서산,20221101,9.3,16.1,3.7,22.5,-3.8,20221112,20221130,1018.6,73,1.6
(코로나로 일정 미정)서산어리굴젓축제,부석면 간월도리,어리굴젓 캐기 체험 및 판매,416602069,https://www.seosan.go.kr/tour/index.do,,충청남도 서산시 부석면 간월도리 26-27,,,129,서산,20221101,9.3,16.1,3.7,22.5,-3.8,20221112,20221130,1018.6,73,1.6
