FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,ADSTRD_NM,RN_ADDR,LA,LO,OPAR_NM,FSTVL_BEGIN_DE,FSTVL_END_DE,FSTV_CN,RELATE_INFO_CN,TRRSRT_POI_NM_y,TRRSRT_CL_NM_y,TRRSRT_LA_y,TRRSRT_LO_y
제13회 영동포도축제,충청북도,영동군,영동읍,영동읍,충청북도 영동군 영동읍 영동황간로 122,36.1642048,127.7819752,영동군 영동읍 영동군체육관 일원,20170824.0,20170827.0,포도축제,"""포도따기, 포도밟기 등 체험, 농특산물 판매, 전시, 추풍령가요제, 영동포도마라톤 대회""","['영동난계국악축제', '영동난계국악축제', '영동난계국악축제', '태초농원', '영동포도축제', '영동곶감축제', '화수정', '영동향교', '중화사계곡', '탑선리소류지', '부곡소류지', '금성사', '보현사', '영동공예사', '대동사', '불교연합회', '무량사', '이암사', '효심사', '추풍령가요제', '과일나라테마공원', '영동난계국악축제', '대한민국와인축제', '중화사', '향엄사', '반곡소류지', '도리비소류지', '어미실소류지', '시곡소류지', '예전소류지', '하가저수지', '산익소류지', '프로방스']","['지역축제', '지역축제', '지역축제', '관광농원/허브마을', '지역축제', '지역축제', '서원/향교/서당', '서원/향교/서당', '폭포/계곡', '지역호수/저수지', '지역호수/저수지', '지역사찰', '지역사찰', '토속/특산물/기념품매장', '지역사찰', '지역사찰', '지역사찰', '지역사찰', '지역사찰', '지역축제', '테마공원/대형놀이공원', '지역축제', '지역축제', '유명사찰', '지역사찰', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '토속/특산물/기념품매장']","[36.1759375, 36.1759375, 36.1759375, 36.1738369, 36.1642775, 36.1767939, 36.165676, 36.1760596, 36.146718, 36.2037708, 36.1777817, 36.176958, 36.162217, 36.1830996, 36.1658381, 36.1746329, 36.175729, 36.1514842, 36.1607252, 36.1656703, 36.1609963, 36.1759375, 36.1736294, 36.1481923, 36.1842646, 36.1557041, 36.1587519, 36.1844383, 36.1933245, 36.2202754, 36.1679599, 36.1492702, 36.1748617]","[127.7715853, 127.7715853, 127.7715853, 127.8220407, 127.7820936, 127.7717036, 127.7648922, 127.7695864, 127.8296734, 127.8399628, 127.7892666, 127.7673453, 127.8495713, 127.7786789, 127.7717701, 127.7753142, 127.7951938, 127.7847089, 127.8585875, 127.7847501, 127.7918181, 127.7715853, 127.775007, 127.8391245, 127.8074267, 127.7807231, 127.7938973, 127.8004056, 127.8208108, 127.829093, 127.8588031, 127.8126389, 127.7780155]"
제50회 영동난계국악축제,충청북도,영동군,영동읍,영동읍,충청북도 영동군 영동읍 학산영동로 1244-1,36.1736274,127.7739921,"""영동군 영동읍 영동천 일원(하상주차장, 난계사 등)""",20170921.0,20170924.0,국악축제,"""어가행렬, 종묘제례, 국악기제작 및 연주체험, 퓨전국악공연, 영동와인축제와 연계""","['영동난계국악축제', '영동난계국악축제', '영동난계국악축제', '태초농원', '영동포도축제', '영동곶감축제', '화수정', '영동향교', '중화사계곡', '탑선리소류지', '부곡소류지', '금성사', '보현사', '영동공예사', '대동사', '불교연합회', '무량사', '이암사', '효심사', '추풍령가요제', '과일나라테마공원', '영동난계국악축제', '대한민국와인축제', '중화사', '향엄사', '반곡소류지', '도리비소류지', '어미실소류지', '시곡소류지', '예전소류지', '하가저수지', '산익소류지', '프로방스']","['지역축제', '지역축제', '지역축제', '관광농원/허브마을', '지역축제', '지역축제', '서원/향교/서당', '서원/향교/서당', '폭포/계곡', '지역호수/저수지', '지역호수/저수지', '지역사찰', '지역사찰', '토속/특산물/기념품매장', '지역사찰', '지역사찰', '지역사찰', '지역사찰', '지역사찰', '지역축제', '테마공원/대형놀이공원', '지역축제', '지역축제', '유명사찰', '지역사찰', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '토속/특산물/기념품매장']","[36.1759375, 36.1759375, 36.1759375, 36.1738369, 36.1642775, 36.1767939, 36.165676, 36.1760596, 36.146718, 36.2037708, 36.1777817, 36.176958, 36.162217, 36.1830996, 36.1658381, 36.1746329, 36.175729, 36.1514842, 36.1607252, 36.1656703, 36.1609963, 36.1759375, 36.1736294, 36.1481923, 36.1842646, 36.1557041, 36.1587519, 36.1844383, 36.1933245, 36.2202754, 36.1679599, 36.1492702, 36.1748617]","[127.7715853, 127.7715853, 127.7715853, 127.8220407, 127.7820936, 127.7717036, 127.7648922, 127.7695864, 127.8296734, 127.8399628, 127.7892666, 127.7673453, 127.8495713, 127.7786789, 127.7717701, 127.7753142, 127.7951938, 127.7847089, 127.8585875, 127.7847501, 127.7918181, 127.7715853, 127.775007, 127.8391245, 127.8074267, 127.7807231, 127.7938973, 127.8004056, 127.8208108, 127.829093, 127.8588031, 127.8126389, 127.7780155]"
제8회 대한민국와인축제,충청북도,영동군,영동읍,영동읍,충청북도 영동군 영동읍 학산영동로 1244-1,36.1736274,127.7739921,영동군 영동읍 영동천일원(하상주차장),20170921.0,20170924.0,와인축제,"""와인전시, 시음행사, 와인판매, 난계국악축제와 연계""","['영동난계국악축제', '영동난계국악축제', '영동난계국악축제', '태초농원', '영동포도축제', '영동곶감축제', '화수정', '영동향교', '중화사계곡', '탑선리소류지', '부곡소류지', '금성사', '보현사', '영동공예사', '대동사', '불교연합회', '무량사', '이암사', '효심사', '추풍령가요제', '과일나라테마공원', '영동난계국악축제', '대한민국와인축제', '중화사', '향엄사', '반곡소류지', '도리비소류지', '어미실소류지', '시곡소류지', '예전소류지', '하가저수지', '산익소류지', '프로방스']","['지역축제', '지역축제', '지역축제', '관광농원/허브마을', '지역축제', '지역축제', '서원/향교/서당', '서원/향교/서당', '폭포/계곡', '지역호수/저수지', '지역호수/저수지', '지역사찰', '지역사찰', '토속/특산물/기념품매장', '지역사찰', '지역사찰', '지역사찰', '지역사찰', '지역사찰', '지역축제', '테마공원/대형놀이공원', '지역축제', '지역축제', '유명사찰', '지역사찰', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '토속/특산물/기념품매장']","[36.1759375, 36.1759375, 36.1759375, 36.1738369, 36.1642775, 36.1767939, 36.165676, 36.1760596, 36.146718, 36.2037708, 36.1777817, 36.176958, 36.162217, 36.1830996, 36.1658381, 36.1746329, 36.175729, 36.1514842, 36.1607252, 36.1656703, 36.1609963, 36.1759375, 36.1736294, 36.1481923, 36.1842646, 36.1557041, 36.1587519, 36.1844383, 36.1933245, 36.2202754, 36.1679599, 36.1492702, 36.1748617]","[127.7715853, 127.7715853, 127.7715853, 127.8220407, 127.7820936, 127.7717036, 127.7648922, 127.7695864, 127.8296734, 127.8399628, 127.7892666, 127.7673453, 127.8495713, 127.7786789, 127.7717701, 127.7753142, 127.7951938, 127.7847089, 127.8585875, 127.7847501, 127.7918181, 127.7715853, 127.775007, 127.8391245, 127.8074267, 127.7807231, 127.7938973, 127.8004056, 127.8208108, 127.829093, 127.8588031, 127.8126389, 127.7780155]"
2017 영동곶감축제,충청북도,영동군,영동읍,영동읍,충청북도 영동군 영동읍 학산영동로 1244-1,36.1736274,127.7739921,영동군 영동읍 영동천일원(하상주차장),20171215.0,20171217.0,곶감축제,"""곶감따기, 곶감 시식, 판매, 공연 프로그램""","['영동난계국악축제', '영동난계국악축제', '영동난계국악축제', '태초농원', '영동포도축제', '영동곶감축제', '화수정', '영동향교', '중화사계곡', '탑선리소류지', '부곡소류지', '금성사', '보현사', '영동공예사', '대동사', '불교연합회', '무량사', '이암사', '효심사', '추풍령가요제', '과일나라테마공원', '영동난계국악축제', '대한민국와인축제', '중화사', '향엄사', '반곡소류지', '도리비소류지', '어미실소류지', '시곡소류지', '예전소류지', '하가저수지', '산익소류지', '프로방스']","['지역축제', '지역축제', '지역축제', '관광농원/허브마을', '지역축제', '지역축제', '서원/향교/서당', '서원/향교/서당', '폭포/계곡', '지역호수/저수지', '지역호수/저수지', '지역사찰', '지역사찰', '토속/특산물/기념품매장', '지역사찰', '지역사찰', '지역사찰', '지역사찰', '지역사찰', '지역축제', '테마공원/대형놀이공원', '지역축제', '지역축제', '유명사찰', '지역사찰', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '지역호수/저수지', '토속/특산물/기념품매장']","[36.1759375, 36.1759375, 36.1759375, 36.1738369, 36.1642775, 36.1767939, 36.165676, 36.1760596, 36.146718, 36.2037708, 36.1777817, 36.176958, 36.162217, 36.1830996, 36.1658381, 36.1746329, 36.175729, 36.1514842, 36.1607252, 36.1656703, 36.1609963, 36.1759375, 36.1736294, 36.1481923, 36.1842646, 36.1557041, 36.1587519, 36.1844383, 36.1933245, 36.2202754, 36.1679599, 36.1492702, 36.1748617]","[127.7715853, 127.7715853, 127.7715853, 127.8220407, 127.7820936, 127.7717036, 127.7648922, 127.7695864, 127.8296734, 127.8399628, 127.7892666, 127.7673453, 127.8495713, 127.7786789, 127.7717701, 127.7753142, 127.7951938, 127.7847089, 127.8585875, 127.7847501, 127.7918181, 127.7715853, 127.775007, 127.8391245, 127.8074267, 127.7807231, 127.7938973, 127.8004056, 127.8208108, 127.829093, 127.8588031, 127.8126389, 127.7780155]"
제22회 과천축제,경기도,과천시,중앙동,중앙동,경기도 과천시 통영로 5,37.4279091,126.9895045,과천청사 잔디마당 등 과천시 일원,20180913.0,20180916.0,"""문화예술 퍼포먼스, 시민참여 프로그램, 플리마켓 등""","""서울대공원,서울랜드,과천과학관""","['과천한마당축제', '과천누리마축제', '연주암', '정부과천청사과천식물원', '과천향교']","['지역축제', '지역축제', '유명사찰', '식물원', '서원/향교/서당']","[37.4281944, 37.4283194, 37.4413879, 37.4261841, 37.4337372]","[126.9891477, 126.9892646, 126.9657866, 126.9812302, 126.9876352]"
제11회 마포나루새우젓축제,서울특별시,마포구,성산동,성산제2동,서울특별시 마포구 월드컵로 207,37.5642503,126.901951,서울월드컵공원 평화의 광장 일원,20181019.0,20181021.0,"""개장식, 기념식, 문화행사, 체험행사, 판매행사""",,"['마포나루새우젓축제', '평화의공원난지연못', '다미자수정', '관음사', '성림사', '해원정사', '사람과신용', '선혜사', '마약퇴치기원걷기대회', '서울프린지페스티벌', '서울디저트페어', '문화비축기지', '극락선원', '전통연희페스티벌', '메이커페어서울', '서울단풍길', '한마음걷기축제', '서울시민시장위크']","['지역축제', '지역호수/저수지', '토속/특산물/기념품매장', '지역사찰', '지역사찰', '지역사찰', '토속/특산물/기념품매장', '지역사찰', '지역축제', '지역축제', '지역축제', '테마공원/대형놀이공원', '지역사찰', '지역축제', '지역축제', '일반관광지', '지역축제', '지역축제']","[37.564898, 37.5634751, 37.564894, 37.5643084, 37.5629847, 37.5613844, 37.5588628, 37.5689862, 37.5640811, 37.5710818, 37.5681935, 37.5710973, 37.5687498, 37.5712114, 37.5712235, 37.5685908, 37.5648936, 37.5647168]","[126.8960977, 126.8953938, 126.9125143, 126.9099585, 126.911593, 126.9165769, 126.9163308, 126.9126199, 126.8958723, 126.8940317, 126.8972172, 126.8940452, 126.9128727, 126.8940411, 126.8940386, 126.8941464, 126.8960902, 126.9164968]"
함창명주페스티벌,경상북도,상주시,함창읍,함창읍,경상북도 상주시 함창읍 무운로 1593,36.576525,128.160039,명주테마공원,20180907.0,20180909.0,"""누에고치 체험, 천연염색 등""",잠사곤충사업장,"['함창향교', '용화사', '명주테마파크', '교촌못', '천왕암', '상주베리축제', '관음사', '나한사', '대조못']","['서원/향교/서당', '지역사찰', '일반관광지', '지역호수/저수지', '지역사찰', '지역축제', '지역사찰', '지역사찰', '지역호수/저수지']","[36.5762576, 36.5681339, 36.5773619, 36.5804232, 36.5722254, 36.5773634, 37.5643084, 36.5931072, 36.5781724]","[128.1558935, 128.1715051, 128.1619913, 128.1600974, 128.1819627, 128.1617232, 126.9099585, 128.1522088, 128.1695731]"
상주 이야기축제,경상북도,상주시,남성동,남원동,경상북도 상주시 상산로 223,36.410959,128.158961,상주 북천시민공원일원,20181012.0,20181014.0,다양한 이야기 체험 및 전시 공연 등,,['묘정암'],['지역사찰'],[36.4133301],[128.1556092]
정의공주와 함께 하는 도봉 한글잔치,서울특별시,도봉구,방학동,방학제2동,서울특별시 도봉구 도당로13마길 5,37.66667,127.03375,방학동 원당샘공원,20151009.0,20151009.0,"""문화예술공연, 백일장 및 사생대회, 전통놀이체험 등""",,"['반야정사', '북한산둘레길', '무불선원', '헬로애니멀', '도봉한글잔치', '서울단풍길', '만성사', '성국사', '반야정사', '북한산둘레길', '무불선원', '헬로애니멀', '도봉한글잔치', '서울단풍길', '만성사', '성국사']","['지역사찰', '일반관광지', '지역사찰', '동물원', '지역축제', '일반관광지', '지역사찰', '지역사찰', '지역사찰', '일반관광지', '지역사찰', '동물원', '지역축제', '일반관광지', '지역사찰', '지역사찰']","[37.6614528, 37.662231, 37.6614605, 37.6680771, 37.6607397, 37.5685908, 37.6700301, 37.6702723, 37.6614528, 37.662231, 37.6614605, 37.6680771, 37.6607397, 37.5685908, 37.6700301, 37.6702723]","[127.0212052, 127.0246347, 127.0211934, 127.0473313, 127.022111, 126.8941464, 127.0288368, 127.0315242, 127.0212052, 127.0246347, 127.0211934, 127.0473313, 127.022111, 126.8941464, 127.0288368, 127.0315242]"
정월대보름 큰잔치,서울특별시,도봉구,도봉동,도봉제2동,서울특별시 도봉구 마들로 684-20,37.6707774,127.0483768,"""도봉구청 광장, 중랑천변""",20150305.0,20150305.0,"""길놀이, 풍물놀이, 소원지 붙이기, 달집태우기, 민속놀이 체험마당,청소년 동아리 프로그램 공연 및 솟대외줄타기 공연""",,"['서울창포원', '원통사', '도봉사', '구봉사', '능원사', '도봉서원', '북한산둘레길', '북한산둘레길', '도봉계곡', '무수골주말농장', '능혜사', '서울둘레길1코스수락불암산', '서울둘레길8코스북한산', '내자사', '인수사', '도봉서원', '본원사', '대정선원', '선림사', '만월암', '도봉산페스티벌', '천축사', '광륜사', '서울창포원', '원통사', '도봉사', '구봉사', '능원사', '도봉서원', '북한산둘레길', '북한산둘레길', '도봉계곡', '무수골주말농장', '능혜사', '서울둘레길1코스수락불암산', '서울둘레길8코스북한산', '내자사', '인수사', '도봉서원', '본원사', '대정선원', '선림사', '만월암', '도봉산페스티벌', '천축사', '광륜사']","['식물원', '지역사찰', '지역사찰', '지역사찰', '지역사찰', '서원/향교/서당', '일반관광지', '일반관광지', '폭포/계곡', '관광농원/허브마을', '지역사찰', '일반관광지', '일반관광지', '지역사찰', '지역사찰', '지역사찰', '지역사찰', '지역사찰', '지역사찰', '유명사찰', '지역축제', '유명사찰', '지역사찰', '식물원', '지역사찰', '지역사찰', '지역사찰', '지역사찰', '서원/향교/서당', '일반관광지', '일반관광지', '폭포/계곡', '관광농원/허브마을', '지역사찰', '일반관광지', '일반관광지', '지역사찰', '지역사찰', '지역사찰', '지역사찰', '지역사찰', '지역사찰', '유명사찰', '지역축제', '유명사찰', '지역사찰']","[37.6894659, 37.6829794, 37.6863306, 37.6871156, 37.686092, 37.6882896, 37.662231, 37.662231, 37.6873661, 37.6774334, 37.6779358, 37.6892841, 37.6892858, 37.6896532, 37.6864744, 37.6882896, 37.6714076, 37.6798577, 37.6704753, 37.6970888, 37.6918634, 37.6942518, 37.6877628, 37.6894659, 37.6829794, 37.6863306, 37.6871156, 37.686092, 37.6882896, 37.662231, 37.662231, 37.6873661, 37.6774334, 37.6779358, 37.6892841, 37.6892858, 37.6896532, 37.6864744, 37.6882896, 37.6714076, 37.6798577, 37.6704753, 37.6970888, 37.6918634, 37.6942518, 37.6877628]","[127.0479413, 127.0106808, 127.0303655, 127.0249189, 127.0324649, 127.0291721, 127.0246347, 127.0246347, 127.0303763, 127.0334771, 127.0312789, 127.0468023, 127.0468016, 127.0387509, 127.0408923, 127.0291721, 127.0417933, 127.0361896, 127.0422008, 127.0185811, 127.0478952, 127.0193385, 127.0354651, 127.0479413, 127.0106808, 127.0303655, 127.0249189, 127.0324649, 127.0291721, 127.0246347, 127.0246347, 127.0303763, 127.0334771, 127.0312789, 127.0468023, 127.0468016, 127.0387509, 127.0408923, 127.0291721, 127.0417933, 127.0361896, 127.0422008, 127.0185811, 127.0478952, 127.0193385, 127.0354651]"
