FCLTY_NM,LC_LA,LC_LO,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,ADSTRD_NM,RDNMADR_NM,TIME,SEARCH_SUM,RANK_AVG
팔봉산감자축제,36.81761837,126.3662446,충청남도,서산시,팔봉면,팔봉면,충청남도 서산시 팔봉면 팔봉산로 100,2018-09~2019-11,51720.0,15.0
서산6쪽마늘축제,36.7135571698,126.5503841589,충청남도,서산시,해미면,해미면,충청남도 서산시 해미면 남문2로 143,2018-10~2019-11,1572.0,6.5
삼길포우럭축제,37.0010156,126.45157657,충청남도,서산시,대산읍,대산읍,충청남도 서산시 대산읍 삼길포3길 8,2018-09~2019-11,24980.0,8.0
서산뻘낙지먹물축제,36.8804015609,126.3845472,충청남도,서산시,지곡면,지곡면,충청남도 서산시 지곡면 어름들2길 66,2018-10~2019-10,91.0,2.5
서산어리굴젓축제,36.6037549404,126.4110015619,충청남도,서산시,부석면,부석면,충청남도 서산시 부석면 간월도1길 119-29,2018-10~2019-11,2305.0,6.5
서산해미읍성축제,36.7135571698,126.5503841589,충청남도,서산시,해미면,해미면,충청남도 서산시 해미면 남문2로 143,2018-09~2019-11,47820.0,8.0
서산국화축제,36.6693265,126.536271,충청남도,서산시,고북면,고북면,충청남도 서산시 고북면 복남골길 31-1,2018-09~2019-11,104910.0,8.0
논산딸기축제,36.2092288864,127.0819869,충청남도,논산시,대교동,부창동,충청남도 논산시 강변로 370,2018-09~2019-11,1053560.0,15.0
강경젓갈축제,36.15755616,127.0098062,충청남도,논산시,강경읍,강경읍,충청남도 논산시 강경읍 금백로 45,2018-10~2019-11,292600.0,14.0
양촌곶감축제,36.1292062,127.2474063108,충청남도,논산시,양촌면,양촌면,충청남도 논산시 양촌면 이메길 31-13,2018-09~2019-11,76480.0,15.0
2019계룡세계軍문화축제,,,충청남도,계룡시,신도안면,신도안면,충청남도 계룡시 신도안면 계룡대로 663,2018-10~2019-11,112989.0,7.5
왜목해돋이축제,36.8897399814,126.6459689074,충청남도,당진시,수청동,당진1동,충청남도 당진시 시청1로 1,2018-12~2018-12,112.0,1.0
기지시줄다리기 민속축제,36.8961613826,126.694732,충청남도,당진시,송악읍,송악읍,충청남도 당진시 송악읍 안틀모시길 11,2018-09~2019-11,17520.0,15.0
장고항 실치축제,37.0288688,126.5619088,충청남도,당진시,석문면,석문면,충청남도 당진시 석문면 장고항로 298-5,2018-09~2019-11,703680.0,15.0
한진포구 바지락 갯벌체험축제,36.9704187472,126.7815875405,충청남도,당진시,송악읍,송악읍,충청남도 당진시 송악읍 한진포구길 50-1,2018-10~2019-11,15368.0,14.0
면천 진달래축제,36.817618912,126.666993,충청남도,당진시,면천면,면천면,충청남도 당진시 면천면 면천서문1길 69,2019-03~2019-05,1158.0,3.0
심훈상록문화제,36.889754,126.6459689,충청남도,당진시,수청동,당진1동,충청남도 당진시 시청1로 1,2018-09~2019-11,42480.0,15.0
금산인삼축제,36.1000256,127.500730392,충청남도,금산군,금산읍,금산읍,충청남도 금산군 금산읍 인삼광장로 30,2018-09~2019-11,1424880.0,15.0
비단고을산꽃축제,36.19093401,127.5710874,충청남도,금산군,군북면,군북면,충청남도 금산군 군북면 자진뱅이길 95,2018-10~2019-09,24384.0,8.0
금강여울축제,36.0751568,127.5683215,충청남도,금산군,부리면,부리면,충청남도 금산군 부리면 적벽강로 189,2018-09~2019-11,36472.0,15.0
금산천봄꽃축제,36.1020211,127.4843123,충청남도,금산군,금산읍,금산읍,충청남도 금산군 금산읍 금산천길 28,2019-03~2019-05,768.0,3.0
