FSTVL_NM,MESURE_DE,AVRG_TP,AVRG_TOP_TP,AVRG_LWET_TP,TOP_TP,LWET_TP,TOP_TP_OCCRRNC_DE,LWET_TP_OCCRRNC_DE,AVRG_ARCSR,AVRG_PARTN_HD,AVRG_WIND_VE,FSTVL_BEGIN_DE,FSTVL_END_DE
(가칭)문화로 동행축제,1,15.4,19.0,11.8,22.4,5.2,3,17,1012.7,60.0,2.7,2021-10-01,2021-10-03
(미확정)동해무릉제,1,20.05,23.35,16.8,28.2,10.5,4,24,1008.65,81.5,2.0,2023-09-22,2023-09-24
(취소) 2020 화성뱃놀이축제,1,20.45,26.200000000000003,16.05,30.0,9.4,1,16,1004.2,82.5,1.0,2020-09-11,2020-09-13
(취소) 2020 화성송산포도축제,1,20.45,26.200000000000003,16.05,30.0,9.4,1,16,1004.2,82.5,1.0,2020-09-05,2020-09-06
(취소) 화성시민 한마음 체육대회,1,13.3,20.4,7.55,25.1,-0.2,1,18,1012.15,76.5,0.8500000000000001,2020-10-17,2020-10-17
(코로나19로 행사취소)합천벚꽃마라톤대회,2,9.233333333333333,16.233333333333334,2.3666666666666667,23.3,-4.8,12,6,1014.5,63.333333333333336,1.1333333333333335,2022-03-20,2022-03-20
(코로나로 일정 미정)서산6쪽마늘축제,1,23.425,28.525,19.5,33.7,13.6,9,2,1004.375,79.0,1.825,2021-06-24,2021-07-21
(코로나로 일정 미정)서산뻘낙지먹물축제,1,21.2,26.25,17.200000000000003,30.5,11.1,1,21,1009.8,79.0,1.9,2021-09-01,2021-09-01
(코로나로 일정 미정)지곡 왕산포 서산갯마을축제,1,22.0,27.35,17.85,33.7,13.6,9,2,1004.3,78.0,1.95,2021-06-08,2019-06-09
2014 안양 아줌마축제,1,25.4,30.049999999999997,21.950000000000003,34.8,20.5,5,23,1000.05,87.0,1.0,2014-08-30,2014-08-31
2014 안양시민축제,1,20.45,26.200000000000003,16.05,30.0,9.4,1,16,1004.2,82.5,1.0,2014-09-26,2014-09-28
2015 안양 시민축제,1,13.3,20.4,7.55,25.1,-0.2,1,18,1012.15,76.5,0.8500000000000001,2015-10-02,2015-10-04
2015 안양 아줌마축제,1,17.05,23.049999999999997,11.65,29.4,7.1,14,6,1000.75,74.5,1.25,2015-05-30,2015-05-31
2016 광복기념음악회,1,25.4,30.049999999999997,21.950000000000003,34.8,20.5,5,23,1000.05,87.0,1.0,2016-08-15,2016-08-15
2016 대가야체험축제,2,13.55,19.8,7.65,28.0,1.3,12,2,1011.05,57.0,2.9,2016-04-07,2016-04-10
2016 대구약령시한방문화축제,21,19.765217391304347,25.821739130434782,14.208695652173914,33.6,9.3,1,3,1004.3739130434782,55.43478260869565,2.3304347826086955,2016-05-04,2016-05-08
2016 안양 시민축제,1,20.45,26.200000000000003,16.05,30.0,9.4,1,16,1004.2,82.5,1.0,2016-09-24,2016-09-25
2016 안양 아줌마축제,1,17.05,23.049999999999997,11.65,29.4,7.1,14,6,1000.75,74.5,1.25,2016-05-28,2016-05-29
2016 제5회 안양공공예술프로젝트,1,6.2,12.625,0.7999999999999998,25.1,-0.2,1,18,1014.35,71.0,0.9500000000000001,2016-10-15,2016-12-15
2016 평생학습 박람회 & 제6회 도서관책문화축제,1,14.7,20.35,9.55,24.3,2.2,1,17,1016.55,71.0,1.6,2016-10-01,2016-10-01
2017 겨울공주군밤축제,2,0.6599999999999999,6.26,-3.9799999999999995,14.2,-7.7,7,1,1016.8,65.0,1.44,2017-12-22,2018-01-28
2017 광복기념음악회,1,25.4,30.049999999999997,21.950000000000003,34.8,20.5,5,23,1000.05,87.0,1.0,2017-08-15,2017-08-15
